County,State,Population,Median Age,Household Income,Poverty Rate,Unemployment Rate,High School Rate,College Rate,Uneducated Rate,White Population Rate,Black Population Rate,Hispanic Population Rate,Asian Population Rate
Aasco Municipio,PR,26686.0,42.7,19898.0,45.73184441280072,3.855954433036049,19.253541182642586,10.488645731844413,2.7879787154313123,82.59761672787229,1.7274975642659072,95.06108071648056,0.0
Abbeville County,SC,4084.2,39.9,39143.2,22.95848217679978,2.1464483949768964,20.17563854957465,6.307386163664689,0.7318762672308837,65.86121667434837,30.43180303185129,1.097322779277325,0.5237931662432163
Acadia Parish,LA,6208.7,36.36,43551.0,20.894436304663028,3.432778349412016,23.09595741273069,7.351045270857519,0.9857009218286249,86.83694259547767,10.600556337446946,2.720125318954099,0.06182302618537452
Accomack County,VA,990.0909090909091,48.833333333333336,-100964421.57575758,14.984460428248328,1.4920797880145344,26.353785185166714,8.400832011077597,0.5768694138894654,73.26572868874818,24.70369750142121,5.3076829867584205,0.4254141498395695
Ada County,ID,30571.6,37.76,68595.26666666666,10.538547019587662,1.9744827008089927,11.349687437612184,17.948705693750536,0.39019455523186003,90.71313701945525,1.2766170213802035,7.9916477071749465,2.490007582517035
Adair County,IA,1187.4,44.519999999999996,53523.0,13.591781183461768,2.8490617720873845,28.152185124259454,9.099839170535372,0.16538744252038495,97.84755966232474,0.4471711214535487,1.0317137364089521,0.527298525525009
Adair County,KY,4578.0,47.25,-166635349.0,23.604921016358006,1.6197054011384762,26.5817077238366,9.34837601328762,0.6097699996352095,97.90340121475212,0.9050792507204612,2.088984612173114,0.18011527377521613
Adair County,MO,5041.2,37.78,48069.6,20.646764658150246,2.4446533343985033,22.07742447586969,6.263391837632284,0.7346257609385631,96.76158593836824,0.6431278709769354,1.566424863335361,0.7946271631763457
Adair County,OK,4622.8,41.64,40248.6,28.66927466969178,1.7597036064876659,24.60497262968952,7.241291162313855,0.2555485035069434,43.86899898876093,0.12277276023071919,4.501938851606741,1.4411349992738132
Adams County,CO,26626.529411764706,34.741176470588236,71805.0,12.73615565229003,1.8895319376983313,13.246300690026494,12.021500735298146,1.3532887371311668,81.61387328214988,3.233096295175829,35.32463524562886,3.9663918626307244
Adams County,IA,854.0,51.8,48199.0,12.654664830214369,1.3388058935856824,29.396761280543505,14.203829390037367,0.4137115839243499,99.1174866315497,0.019700551615445226,1.1614413647696002,0.08865248226950355
Adams County,ID,1005.75,57.075,-166626012.0,12.960561643020503,3.9133714653722182,25.058318468415123,8.291000266898275,0.6897257719252724,95.40482217881755,0.2075765438505449,2.5234114208858713,0.0
Adams County,IL,4117.1875,42.38125,58293.6875,8.271027062330727,1.850700016170358,23.051839834460537,9.570473117045175,0.18659388932997506,97.399145695174,0.6854525613095425,0.8475378943810422,0.6345465399102684
Adams County,IN,8668.5,29.7,51042.75,19.846091797324494,1.6072834920140768,17.50109143000536,5.278655962348566,1.2562743214144834,96.84732759815235,1.0464802152002235,3.2141803429876266,0.34259330961894496
Adams County,MS,30838.0,41.7,30094.0,28.688630909916338,3.7486218302094816,19.355989363771968,7.302678513522277,0.7815033400350218,40.15500356702769,57.056229327453146,5.9309942279006425,0.6063947078280044
Adams County,ND,1034.0,43.55,52704.0,6.882464382043267,1.2901696311038189,27.85437553419137,10.497601207818377,0.1943364797334814,96.14103275957801,1.3325930038867295,1.2422353790133238,1.6102165463631315
Adams County,NE,5192.0,39.81666666666667,62067.666666666664,7.9875899737561875,1.5979556382530717,18.039753814302674,11.224361064811285,0.7427951786769352,96.06032628493453,0.32809089466100855,3.4241755101251354,1.732832925122248
Adams County,OH,3778.75,42.7875,-83296299.875,22.52012737394172,1.7774158792925658,27.66649951366697,8.0434799279903,0.7462506249563303,97.96604843231118,0.23275643501820817,1.4564270133361747,0.024102193299590263
Adams County,PA,7174.692307692308,41.86923076923077,-51217074.76923077,9.801107142046408,1.985356668335068,24.8112296065036,11.187263294507144,0.9650956520070365,91.6865405597289,1.3878315679474804,8.90936364960446,0.5428469661481305
Adams County,WA,4273.6,43.019999999999996,52115.2,16.335252711792215,2.2219280276264235,18.610209734989585,9.975670867153857,0.5721368750163327,87.19518942195047,0.3940728709080766,17.680976095659087,0.5075620273307402
Adams County,WI,2989.8,51.220000000000006,42196.0,12.120044796558627,2.7730325301034484,26.007606971746632,5.715757414505795,0.6998693811732347,90.61381641202804,3.607924723340011,5.173846592074495,0.7399891164238902
Addison County,VT,2223.625,-41666624.09375,-41602566.75,7.813486195771927,1.848571416645388,24.972812130951223,16.301165031744087,0.26065967227056447,95.82279206097662,0.6551142720690546,1.7259156356610224,0.8114272631752508
Adjuntas Municipio,PR,17113.0,41.9,14361.0,61.66072576403904,11.500029217553909,17.25004382633086,10.10343014082861,2.658797405481213,73.72173201659557,1.0635189621924852,99.64354584234208,0.0116870215625547
Aguada Municipio,PR,37751.0,42.9,16807.0,49.41061163942677,3.761489761860613,16.23003364149294,10.59839474451008,2.177425763555932,85.24012608937511,2.405234298429181,92.46907366692272,0.0
Aguadilla Municipio,PR,26401.5,41.95,17168.5,50.79771977972682,6.942923096809049,19.268189188197386,13.717733263742977,1.334448812702711,81.42637650933946,2.193326922038566,98.36086905222075,0.3244128317428
Aguas Buenas Municipio,PR,26097.0,41.9,18846.0,47.50354446871288,4.636548262252366,19.266582365789173,10.338353067402384,2.2952829827183203,54.879871249568914,9.311415105184505,99.53634517377476,0.0
Aibonito Municipio,PR,11511.0,48.2,28883.0,28.474318241991,0.8229635513193893,45.36614155855617,5.387873974053482,0.7589797899567557,87.34004059659341,7.598623245962404,99.81466772570823,0.04192039537551845
Aiken County,SC,8770.888888888889,40.72777777777778,-36996399.722222224,19.546411353768626,3.6605310729840386,23.00258615032109,7.715393227471842,1.0583322275394964,71.73365494779128,24.914006133423623,7.184120630014306,0.39762686324660446
Aitkin County,MN,1989.125,54.55,52049.75,11.18553897421906,2.514028131334157,23.988080344684995,8.49077533219871,0.4209884883368324,94.71131315885135,0.4934237972081058,0.7495670050868468,0.20885246180088435
Alachua County,FL,14062.263157894737,37.08421052631579,-35040082.78947368,17.974593650455898,2.8084065789221824,13.456194307105124,12.245466583290284,0.6538202564819812,71.29096572178669,19.668401613282338,9.575367295844956,4.262037177938245
