County,State,Republic,Democrate,Win
Chippewa County,WI,0.593,0.39,R
Chippewa County,MI,0.604,0.376,R
Chisago County,MN,0.635,0.342,R
Chittenden County,VT,0.402,0.555,D
Choctaw County,OK,0.806,0.186,R
Choctaw County,AL,0.576,0.419,R
Choctaw County,MS,0.712,0.28,R
Chouteau County,MT,0.636,0.333,R
Chowan County,NC,0.575,0.417,R
Christian County,IL,0.715,0.266,R
Christian County,KY,0.632,0.348,R
Christian County,MO,0.744,0.237,R
Churchill County,NV,0.727,0.237,R
Cibola County,NM,0.446,0.533,D
Cimarron County,OK,0.92,0.066,R
Citrus County,FL,0.7,0.29,R
Clackamas County,OR,0.428,0.54,D
Claiborne County,LA,0.573,0.415,R
Claiborne County,TN,0.819,0.17,R
Claiborne County,MS,0.166,0.81,D
Clallam County,WA,0.471,0.504,D
Clare County,MI,0.667,0.319,R
Claremont County,NH,0.48,0.498,R
Clarendon County,VT,0.532,0.446,R
Clarendon County,SC,0.5,0.493,R
Clarion County,PA,0.748,0.24,R
Clark County,NV,0.44,0.54,D
Clark County,WI,0.671,0.304,R
Clark County,SD,0.742,0.236,R
Clark County,OH,0.608,0.376,R
Clark County,IL,0.745,0.239,R
Clark County,WA,0.462,0.513,D
Clark County,KY,0.652,0.331,R
Clark County,KS,0.844,0.136,R
Clark County,IN,0.58,0.398,R
Clark County,MO,0.787,0.2,R
Clark County,ID,0.849,0.132,R
Clark County,AR,0.551,0.408,R
Clarke County,VA,0.559,0.422,R
Clarke County,IA,0.673,0.314,R
Clarke County,MS,0.649,0.34,R
Clarke County,AL,0.558,0.437,R
Clarke County,GA,0.281,0.702,D
Clarksville County,NH,0.59,0.393,R
Clatsop County,OR,0.425,0.542,D
Clay County,IL,0.816,0.164,R
Clay County,KS,0.757,0.214,R
Clay County,AL,0.808,0.183,R
Clay County,SD,0.431,0.541,D
Clay County,AR,0.789,0.185,R
Clay County,FL,0.678,0.307,R
Clay County,GA,0.444,0.551,D
Clay County,IA,0.686,0.297,R
Clay County,IN,0.774,0.208,R
Clay County,WV,0.796,0.19,R
Clay County,KY,0.88,0.109,R
Clay County,MN,0.467,0.507,D
Clay County,MO,0.51,0.47,R
Clay County,TN,0.78,0.21,R
Clay County,TX,0.883,0.107,R
Clay County,NC,0.743,0.247,R
Clay County,NE,0.8,0.178,R
Clay County,MS,0.412,0.57,D
Clayton County,GA,0.141,0.85,D
Clayton County,IA,0.637,0.349,R
Clear Creek County,CO,0.416,0.556,D
Clearfield County,PA,0.741,0.245,R
Clearwater County,MN,0.716,0.267,R
Clearwater County,ID,0.781,0.198,R
Cleburne County,AR,0.816,0.156,R
Cleburne County,AL,0.898,0.093,R
Clermont County,OH,0.675,0.309,R
Cleveland County,AR,0.796,0.181,R
Cleveland County,NC,0.659,0.33,R
Cleveland County,OK,0.557,0.416,R
Clifton County,ME,0.609,0.352,R
Clinch County,GA,0.735,0.261,R
Clinton County,MI,0.524,0.458,R
Clinton County,IN,0.72,0.259,R
Clinton County,NY,0.523,0.462,R
Clinton County,OH,0.755,0.228,R
Clinton County,KY,0.868,0.122,R
Clinton County,MO,0.715,0.266,R
Clinton County,IL,0.745,0.233,R
Clinton County,CT,0.424,0.56,D
Clinton County,MA,0.371,0.601,D
Clinton County,ME,0.61,0.357,R
Clinton County,PA,0.675,0.312,R
Clinton County,IA,0.541,0.438,R
Cloud County,KS,0.762,0.214,R
Coahoma County,MS,0.259,0.727,D
Coal County,OK,0.828,0.148,R
Cobb County,GA,0.42,0.563,D
Cochise County,AZ,0.582,0.399,R
Cochran County,TX,0.809,0.177,R
Cocke County,TN,0.819,0.17,R
Coconino County,AZ,0.37,0.61,D
Codington County,SD,0.681,0.292,R
Coffee County,AL,0.759,0.228,R
Coffee County,TN,0.735,0.235,R
Coffee County,GA,0.695,0.297,R
Coffey County,KS,0.766,0.209,R
Cohasset County,MA,0.294,0.679,D
Coke County,TX,0.872,0.12,R
Colbert County,AL,0.702,0.286,R
Colchester County,CT,0.438,0.538,D
Colchester County,VT,0.296,0.67,D
Cole County,MO,0.66,0.321,R
Colebrook County,NH,0.587,0.389,R
Colebrook County,CT,0.573,0.405,R
Coleman County,TX,0.882,0.109,R
Coles County,IL,0.622,0.356,R
Colfax County,NE,0.707,0.275,R
Colfax County,NM,0.544,0.434,R
Colleton County,SC,0.541,0.446,R
Collier County,FL,0.621,0.373,R
Collin County,TX,0.514,0.468,R
Collingsworth County,TX,0.86,0.127,R
Colonial Heights city County,VA,0.659,0.326,R
Colorado County,TX,0.751,0.242,R
Colquitt County,GA,0.732,0.26,R
Colrain County,MA,0.304,0.662,D
Columbia County,AR,0.64,0.325,R
Columbia County,FL,0.721,0.27,R
Columbia County,OR,0.532,0.429,R
Columbia County,GA,0.621,0.363,R
Columbia County,NY,0.468,0.514,D
Columbia County,NH,0.67,0.325,R
Columbia County,WI,0.5,0.485,R
Columbia County,WA,0.709,0.269,R
Columbia County,CT,0.448,0.529,D
Columbia County,PA,0.646,0.337,R
Columbia Falls County,ME,0.609,0.355,R
Columbiana County,OH,0.714,0.268,R
Columbus County,NC,0.636,0.358,R
Colusa County,CA,0.573,0.406,R
Comal County,TX,0.708,0.277,R
Comanche County,KS,0.824,0.139,R
Comanche County,TX,0.851,0.14,R
Comanche County,OK,0.587,0.386,R
Concho County,TX,0.834,0.155,R
Concord County,VT,0.544,0.416,R
Concord County,MA,0.161,0.815,D
Concord County,NH,0.334,0.65,D
Concordia County,LA,0.629,0.36,R
Conecuh County,AL,0.535,0.46,R
Conejos County,CO,0.529,0.451,R
Contra Costa County,CA,0.262,0.718,D
Converse County,WY,0.849,0.124,R
Conway County,NH,0.413,0.572,D
Conway County,MA,0.214,0.76,D
Conway County,AR,0.656,0.3,R
Cook County,GA,0.697,0.293,R
Cook County,IL,0.244,0.741,D
Cook County,MN,0.318,0.659,D
Cook Suburbs County,IL,0.335,0.65,D
Cooke County,TX,0.821,0.169,R
Cooper County,MO,0.72,0.258,R
Cooper County,ME,0.62,0.35,R
Coos County,OR,0.589,0.384,R
Coosa County,AL,0.663,0.328,R
Copiah County,MS,0.501,0.484,R
Corinna County,ME,0.681,0.292,R
Corinth County,VT,0.422,0.553,D
Corinth County,ME,0.729,0.248,R
Cornish County,ME,0.506,0.454,R
Cornish County,NH,0.368,0.612,D
Cornville County,ME,0.607,0.365,R
Cornwall County,VT,0.171,0.78,D
Cornwall County,CT,0.242,0.736,D
Corson County,SD,0.504,0.485,R
Cortland County,NY,0.568,0.409,R
Coryell County,TX,0.657,0.322,R
Coshocton County,OH,0.733,0.248,R
Costilla County,CO,0.351,0.63,D
Cottle County,TX,0.817,0.17,R
Cotton County,OK,0.823,0.153,R
Cottonwood County,MN,0.683,0.301,R
Coventry County,CT,0.456,0.516,D
Coventry County,RI,0.525,0.458,R
Coventry County,VT,0.518,0.431,R
Covington County,AL,0.837,0.156,R
Covington County,MS,0.625,0.364,R
Covington city County,VA,0.609,0.372,R
Coweta County,GA,0.671,0.315,R
Cowley County,KS,0.679,0.3,R
Cowlitz County,WA,0.574,0.399,R
Craftsbury County,VT,0.245,0.721,D
Craig County,OK,0.777,0.202,R
Craig County,VA,0.802,0.186,R
Craighead County,AR,0.664,0.309,R
Cranberry Isles County,ME,0.261,0.688,D
Crane County,TX,0.83,0.16,R
Cranston County,RI,0.424,0.564,D
Craven County,NC,0.586,0.399,R
Crawford County,GA,0.726,0.265,R
Crawford County,KS,0.605,0.37,R
Crawford County,IL,0.746,0.233,R
Crawford County,IA,0.679,0.311,R
Crawford County,PA,0.681,0.307,R
Crawford County,IN,0.703,0.275,R
Crawford County,OH,0.744,0.239,R
Crawford County,MO,0.795,0.193,R
Crawford County,AR,0.773,0.205,R
Crawford County,WI,0.531,0.455,R
Crawford County,MI,0.646,0.341,R
Creek County,OK,0.764,0.216,R
Crenshaw County,AL,0.735,0.257,R
Crisp County,GA,0.619,0.371,R
Crittenden County,KY,0.814,0.172,R
Crittenden County,AR,0.45,0.518,D
Crockett County,TX,0.775,0.219,R
Crockett County,TN,0.764,0.226,R
Cromwell County,CT,0.427,0.555,D
Crook County,WY,0.886,0.092,R
Crook County,OR,0.732,0.245,R
Crosby County,TX,0.715,0.27,R
Cross County,AR,0.713,0.255,R
Crow Wing County,MN,0.641,0.343,R
Crowley County,CO,0.729,0.247,R
Croydon County,NH,0.622,0.335,R
Crystal County,ME,0.732,0.238,R
Culberson County,TX,0.48,0.507,D
Cullman County,AL,0.882,0.107,R
Culpeper County,VA,0.591,0.392,R
Cumberland County,IL,0.786,0.195,R
Cumberland County,KY,0.837,0.154,R
Cumberland County,NC,0.409,0.575,D
Cumberland County,NJ,0.469,0.518,D
Cumberland County,PA,0.546,0.439,R
Cumberland County,TN,0.779,0.208,R
Cumberland County,VA,0.569,0.421,R
Cumberland County,RI,0.43,0.555,D
Cumberland County,ME,0.3,0.679,D
Cuming County,NE,0.788,0.195,R
Cummington County,MA,0.271,0.702,D
Currituck County,NC,0.723,0.259,R
Curry County,NM,0.692,0.285,R
Curry County,OR,0.569,0.406,R
Cushing County,ME,0.542,0.442,R
Custer County,ID,0.763,0.22,R
Custer County,MT,0.715,0.257,R
Custer County,OK,0.754,0.222,R
Custer County,SD,0.701,0.277,R
Custer County,CO,0.679,0.308,R
Custer County,NE,0.85,0.131,R
Cuyahoga County,OH,0.323,0.666,D
Dade County,MO,0.828,0.159,R
Dade County,GA,0.816,0.17,R
Daggett County,UT,0.802,0.178,R
Dakota County,MN,0.418,0.557,D
Dakota County,NE,0.578,0.404,R
Dale County,AL,0.725,0.262,R
Dallam County,TX,0.864,0.122,R
Dallas County,AL,0.309,0.685,D
Dallas County,AR,0.594,0.364,R
Dallas County,IA,0.501,0.481,R
Dallas County,MO,0.815,0.17,R
Dallas County,TX,0.333,0.649,D
Dalton County,NH,0.559,0.438,R
Damariscotta County,ME,0.314,0.664,D
Danbury County,NH,0.571,0.4,R
Danbury County,CT,0.399,0.589,D
Danby County,VT,0.536,0.43,R
Dane County,WI,0.229,0.755,D
Daniels County,MT,0.788,0.192,R
Danvers County,MA,0.398,0.579,D
Danville County,NH,0.599,0.384,R
Danville County,VT,0.38,0.582,D
Danville city County,VA,0.384,0.606,D
Dare County,NC,0.575,0.41,R
Darien County,CT,0.378,0.605,D
Darke County,OH,0.81,0.175,R
Darlington County,SC,0.519,0.47,R
Dartmouth County,MA,0.436,0.545,D
Dauphin County,PA,0.451,0.536,D
Davidson County,TN,0.322,0.642,D
Davidson County,NC,0.733,0.253,R
Davie County,NC,0.723,0.265,R
Daviess County,KY,0.63,0.351,R
Daviess County,MO,0.792,0.191,R
Daviess County,IN,0.8,0.181,R
Davis County,UT,0.613,0.338,R
Davis County,IA,0.74,0.247,R
Davison County,SD,0.664,0.313,R
Dawes County,NE,0.711,0.263,R
Dawson County,NE,0.711,0.272,R
Dawson County,TX,0.779,0.213,R
Dawson County,MT,0.777,0.199,R
Dawson County,GA,0.833,0.155,R
Day County,SD,0.631,0.355,R
Dayton County,ME,0.547,0.421,R
De Baca County,NM,0.728,0.256,R
De Soto County,LA,0.618,0.37,R
De Witt County,IL,0.703,0.272,R
DeKalb County,AL,0.844,0.146,R
DeKalb County,GA,0.157,0.831,D
DeKalb County,IL,0.457,0.513,D
DeKalb County,MO,0.79,0.192,R
DeKalb County,TN,0.784,0.206,R
DeKalb County,IN,0.724,0.253,R
DeSoto County,FL,0.656,0.336,R
DeSoto County,MS,0.61,0.37,R
DeWitt County,TX,0.809,0.184,R
Deaf Smith County,TX,0.715,0.274,R
Dearborn County,IN,0.77,0.215,R
Decatur County,GA,0.581,0.411,R
Decatur County,IA,0.688,0.295,R
Decatur County,IN,0.778,0.198,R
Decatur County,KS,0.845,0.143,R
Decatur County,TN,0.806,0.172,R
Dedham County,MA,0.302,0.678,D
Dedham County,ME,0.499,0.467,R
Deep River County,CT,0.371,0.615,D
Deer Isle County,ME,0.375,0.609,D
Deer Lodge County,MT,0.447,0.524,D
Deerfield County,NH,0.554,0.422,R
Deerfield County,MA,0.25,0.726,D
Deering County,NH,0.579,0.399,R
Defiance County,OH,0.671,0.308,R
Del Norte County,CA,0.564,0.408,R
Delaware County,IA,0.668,0.316,R
Delaware County,IN,0.556,0.423,R
Delaware County,OK,0.786,0.201,R
Delaware County,OH,0.525,0.459,R
Delaware County,PA,0.362,0.626,D
Delaware County,NY,0.637,0.342,R
Delta County,TX,0.834,0.156,R
Delta County,MI,0.624,0.36,R
Delta County,CO,0.675,0.304,R
Denmark County,ME,0.474,0.489,R
Dennis County,MA,0.381,0.599,D
Dent County,MO,0.838,0.148,R
Denton County,TX,0.532,0.451,R
Denver County,CO,0.182,0.796,D
Derby County,VT,0.508,0.463,R
Derby County,CT,0.476,0.513,D
Derry County,NH,0.526,0.459,R
Des Moines County,IA,0.531,0.446,R
Deschutes County,OR,0.445,0.527,D
Desha County,AR,0.461,0.484,R
Detroit County,ME,0.633,0.346,R
Deuel County,NE,0.844,0.137,R
Deuel County,SD,0.723,0.259,R
Dewey County,OK,0.9,0.091,R
Dewey County,SD,0.402,0.575,D
Dexter County,ME,0.635,0.335,R
Dickens County,TX,0.863,0.132,R
Dickenson County,VA,0.787,0.206,R
Dickey County,ND,0.719,0.251,R
Dickinson County,MI,0.638,0.344,R
Dickinson County,KS,0.762,0.221,R
Dickinson County,IA,0.662,0.326,R
Dickson County,TN,0.724,0.251,R
Dighton County,MA,0.523,0.453,R
Dillon County,SC,0.502,0.491,R
Dimmit County,TX,0.378,0.618,D
Dinwiddie County,VA,0.577,0.413,R
District of Columbia County,DC,0.04,0.94,D
Divide County,ND,0.752,0.22,R
Dixfield County,ME,0.617,0.353,R
Dixie County,FL,0.827,0.167,R
Dixmont County,ME,0.61,0.363,R
Dixon County,NE,0.757,0.211,R
Dixville County,NH,0.0,1.0,D
Doddridge County,WV,0.845,0.14,R
Dodge County,NE,0.651,0.328,R
Dodge County,WI,0.647,0.338,R
Dodge County,GA,0.724,0.269,R
Dodge County,MN,0.64,0.335,R
Dolores County,CO,0.755,0.232,R
Doniphan County,KS,0.803,0.185,R
Donley County,TX,0.873,0.12,R
Dooly County,GA,0.526,0.466,R
Door County,WI,0.485,0.499,R
Dorchester County,SC,0.542,0.438,R
Dorchester County,MD,0.584,0.396,R
Dorchester County,NH,0.532,0.451,R
Dorset County,VT,0.267,0.706,D
Dougherty County,GA,0.296,0.696,D
Douglas County,MO,0.843,0.145,R
Douglas County,MN,0.655,0.326,R
Douglas County,IL,0.711,0.266,R
Douglas County,KS,0.291,0.685,D
Douglas County,NV,0.633,0.34,R
Douglas County,CO,0.524,0.452,R
Douglas County,GA,0.368,0.62,D
Douglas County,WI,0.443,0.536,D
Douglas County,OR,0.674,0.298,R
Douglas County,WA,0.614,0.367,R
Douglas County,SD,0.86,0.127,R
Douglas County,MA,0.531,0.442,R
Douglas County,NE,0.432,0.542,D
Dover County,NH,0.329,0.65,D
Dover County,MA,0.284,0.686,D
Dover County,VT,0.311,0.647,D
Dover-Foxcroft County,ME,0.581,0.391,R
Do�a Ana County,NM,0.397,0.58,D
Dracut County,MA,0.494,0.488,R
Dresden County,ME,0.5,0.468,R
Drew County,AR,0.631,0.35,R
DuPage County,IL,0.402,0.577,D
Dublin County,NH,0.364,0.619,D
Dubois County,IN,0.689,0.289,R
Dubuque County,IA,0.505,0.476,R
Duchesne County,UT,0.882,0.098,R
Dudley County,MA,0.524,0.451,R
Dummer County,NH,0.614,0.364,R
Dummerston County,VT,0.206,0.76,D
Dunbarton County,NH,0.552,0.432,R
Dundy County,NE,0.884,0.105,R
Dunklin County,MO,0.781,0.211,R
Dunn County,WI,0.56,0.421,R
Dunn County,ND,0.834,0.146,R
Dunstable County,MA,0.405,0.571,D
Duplin County,NC,0.609,0.385,R
Durham County,CT,0.487,0.494,R
Durham County,ME,0.477,0.487,R
Durham County,NC,0.18,0.806,D
Durham County,NH,0.219,0.764,D
Dutchess County,NY,0.499,0.483,R
Duval County,FL,0.474,0.513,D
Duval County,TX,0.484,0.51,D
Duxbury County,MA,0.362,0.613,D
Duxbury County,VT,0.266,0.709,D
Dyer Brook County,ME,0.707,0.267,R
Dyer County,TN,0.781,0.209,R
ED 1 County,AK,0.479,0.476,R
ED 10 County,AK,0.717,0.248,R
ED 11 County,AK,0.667,0.297,R
ED 12 County,AK,0.703,0.265,R
ED 13 County,AK,0.706,0.239,R
ED 14 County,AK,0.715,0.242,R
ED 15 County,AK,0.482,0.474,R
ED 16 County,AK,0.435,0.527,D
ED 17 County,AK,0.479,0.478,R
ED 18 County,AK,0.452,0.512,D
ED 19 County,AK,0.369,0.593,D
ED 2 County,AK,0.598,0.343,R
ED 20 County,AK,0.31,0.663,D
ED 21 County,AK,0.39,0.578,D
ED 22 County,AK,0.61,0.36,R
ED 23 County,AK,0.473,0.494,R
ED 24 County,AK,0.628,0.343,R
ED 25 County,AK,0.468,0.5,R
ED 26 County,AK,0.629,0.339,R
ED 27 County,AK,0.577,0.382,R
ED 28 County,AK,0.6,0.371,R
ED 29 County,AK,0.703,0.27,R
ED 3 County,AK,0.726,0.228,R
ED 30 County,AK,0.805,0.152,R
ED 31 County,AK,0.727,0.234,R
ED 32 County,AK,0.63,0.318,R
ED 33 County,AK,0.352,0.61,D
ED 34 County,AK,0.423,0.54,D
ED 35 County,AK,0.594,0.37,R
ED 36 County,AK,0.635,0.321,R
ED 37 County,AK,0.478,0.476,R
ED 38 County,AK,0.349,0.573,D
ED 39 County,AK,0.323,0.611,D
ED 4 County,AK,0.428,0.53,D
ED 40 County,AK,0.464,0.464,R
ED 5 County,AK,0.47,0.488,R
ED 6 County,AK,0.61,0.347,R
ED 7 County,AK,0.731,0.231,R
ED 8 County,AK,0.767,0.201,R
ED 9 County,AK,0.709,0.251,R
Eagle County,CO,0.341,0.637,D
Eagle Lake County,ME,0.557,0.428,R
Early County,GA,0.525,0.47,R
East Baton Rouge County,LA,0.425,0.555,D
East Bridgewater County,MA,0.499,0.475,R
East Brookfield County,MA,0.545,0.436,R
East Carroll County,LA,0.356,0.626,D
East Feliciana County,LA,0.577,0.407,R
East Granby County,CT,0.43,0.548,D
East Greenwich County,RI,0.376,0.609,D
East Haddam County,CT,0.469,0.512,D
East Hampton County,CT,0.469,0.507,D
East Hartford County,CT,0.268,0.718,D
East Haven County,CT,0.527,0.462,R
East Haven County,VT,0.464,0.493,R
East Kingston County,NH,0.525,0.462,R
East Longmeadow County,MA,0.458,0.522,D
East Lyme County,CT,0.364,0.62,D
East Machias County,ME,0.649,0.332,R
East Millinocket County,ME,0.554,0.431,R
East Montpelier County,VT,0.221,0.743,D
East Providence County,RI,0.344,0.64,D
East Windsor County,CT,0.419,0.564,D
Eastford County,CT,0.536,0.435,R
Eastham County,MA,0.281,0.699,D
Easthampton County,MA,0.238,0.736,D
Eastland County,TX,0.872,0.119,R
Easton County,CT,0.434,0.553,D
Easton County,MA,0.378,0.598,D
Easton County,ME,0.653,0.337,R
Easton County,NH,0.274,0.714,D
Eastport County,ME,0.406,0.568,D
Eaton County,MI,0.493,0.486,R
Eaton County,NH,0.379,0.608,D
Eau Claire County,WI,0.435,0.543,D
Echols County,GA,0.872,0.116,R
Ector County,TX,0.734,0.255,R
Eddington County,ME,0.613,0.341,R
Eddy County,ND,0.677,0.304,R
Eddy County,NM,0.752,0.234,R
Eden County,VT,0.494,0.478,R
Edgar County,IL,0.757,0.229,R
Edgartown County,MA,0.275,0.705,D
Edgecombe County,NC,0.362,0.632,D
Edgefield County,SC,0.615,0.372,R
Edmonson County,KY,0.787,0.2,R
Edmunds County,SD,0.775,0.21,R
Edwards County,IL,0.841,0.145,R
Edwards County,KS,0.798,0.189,R
Edwards County,TX,0.839,0.156,R
Effingham County,NH,0.568,0.422,R
Effingham County,IL,0.787,0.194,R
Effingham County,GA,0.739,0.244,R
Egremont County,MA,0.179,0.805,D
El Dorado County,CA,0.531,0.446,R
El Paso County,TX,0.319,0.663,D
El Paso County,CO,0.536,0.427,R
Elbert County,CO,0.74,0.237,R
Elbert County,GA,0.679,0.314,R
Eliot County,ME,0.378,0.6,D
Elk County,PA,0.718,0.268,R
Elk County,KS,0.839,0.142,R
Elkhart County,IN,0.632,0.347,R
Elko County,NV,0.762,0.208,R
Ellington County,CT,0.476,0.504,D
Elliott County,KY,0.75,0.238,R
Ellis County,OK,0.901,0.086,R
Ellis County,TX,0.662,0.322,R
Ellis County,KS,0.709,0.269,R
Ellsworth County,KS,0.751,0.23,R
Ellsworth County,ME,0.486,0.469,R
Ellsworth County,NH,0.41,0.577,D
Elmore County,AL,0.736,0.252,R
Elmore County,ID,0.71,0.255,R
Elmore County,VT,0.245,0.735,D
Emanuel County,GA,0.69,0.304,R
Embden County,ME,0.664,0.32,R
Emery County,UT,0.865,0.118,R
Emmet County,IA,0.673,0.313,R
Emmet County,MI,0.547,0.436,R
Emmons County,ND,0.865,0.118,R
Emporia city County,VA,0.317,0.678,D
Enfield County,ME,0.671,0.32,R
Enfield County,CT,0.444,0.538,D
Enfield County,NH,0.336,0.643,D
Enosburgh County,VT,0.463,0.502,D
Epping County,NH,0.521,0.461,R
Epsom County,NH,0.581,0.403,R
Erath County,TX,0.812,0.173,R
Erie County,NY,0.465,0.518,D
Erie County,OH,0.55,0.434,R
Erie County,PA,0.488,0.498,R
Errol County,NH,0.664,0.332,R
Escambia County,FL,0.568,0.416,R
Escambia County,AL,0.684,0.309,R
Esmeralda County,NV,0.821,0.152,R
Essex County,VT,0.254,0.712,D
Essex County,CT,0.347,0.639,D
Essex County,VA,0.498,0.492,R
Essex County,MA,0.318,0.656,D
Essex County,NJ,0.22,0.771,D
Essex County,NY,0.524,0.459,R
Estill County,KY,0.78,0.207,R
Etna County,ME,0.682,0.298,R
Etowah County,AL,0.745,0.242,R
Eureka County,NV,0.884,0.098,R
Eustis County,ME,0.569,0.389,R
Evangeline County,LA,0.717,0.27,R
Evans County,GA,0.68,0.312,R
Everett County,MA,0.276,0.709,D
Exeter County,RI,0.495,0.486,R
Exeter County,NH,0.321,0.66,D
Exeter County,ME,0.641,0.333,R
Fair Haven County,VT,0.494,0.476,R
Fairfax County,VT,0.409,0.549,D
Fairfax County,VA,0.282,0.704,D
Fairfax city County,VA,0.299,0.686,D
Fairfield County,ME,0.543,0.42,R
Fairfield County,VT,0.416,0.548,D
Fairfield County,OH,0.61,0.376,R
Fairfield County,CT,0.34,0.646,D
Fairfield County,SC,0.381,0.608,D
Fairhaven County,MA,0.448,0.532,D
Fairlee County,VT,0.258,0.712,D
Fall River County,SD,0.712,0.261,R
Fall River County,MA,0.427,0.553,D
Fallon County,MT,0.873,0.109,R
Falls Church city County,VA,0.17,0.817,D
Falls County,TX,0.681,0.31,R
Falmouth County,ME,0.294,0.676,D
Falmouth County,MA,0.337,0.643,D
Fannin County,GA,0.819,0.173,R
Fannin County,TX,0.812,0.176,R
Faribault County,MN,0.658,0.321,R
Farmingdale County,ME,0.442,0.52,D
Farmington County,ME,0.389,0.561,D
Farmington County,NH,0.583,0.398,R
Farmington County,CT,0.382,0.602,D
Faulk County,SD,0.816,0.168,R
Faulkner County,AR,0.633,0.337,R
Fauquier County,VA,0.578,0.404,R
Fayette County,ME,0.507,0.467,R
Fayette County,PA,0.667,0.326,R
Fayette County,AL,0.833,0.159,R
Fayette County,WV,0.687,0.3,R
Fayette County,TX,0.786,0.205,R
Fayette County,TN,0.683,0.305,R
Fayette County,OH,0.749,0.237,R
Fayette County,IN,0.764,0.22,R
Fayette County,IL,0.8,0.181,R
Fayette County,KY,0.385,0.593,D
Fayette County,GA,0.525,0.461,R
Fayette County,IA,0.603,0.376,R
Fayston County,VT,0.154,0.82,D
Fentress County,TN,0.852,0.139,R
Fergus County,MT,0.745,0.23,R
Ferrisburg County,VT,0.307,0.657,D
Ferry County,WA,0.637,0.341,R
Fillmore County,NE,0.753,0.221,R
Fillmore County,MN,0.603,0.376,R
Finney County,KS,0.617,0.362,R
Fisher County,TX,0.793,0.193,R
Fitchburg County,MA,0.387,0.588,D
Fitzwilliam County,NH,0.499,0.487,R
Flagler County,FL,0.599,0.392,R
Flathead County,MT,0.636,0.337,R
Fleming County,KY,0.783,0.209,R
Fletcher County,VT,0.353,0.6,D
Florence County,SC,0.506,0.483,R
Florence County,WI,0.726,0.266,R
Florida County,MA,0.486,0.5,R
Floyd County,KY,0.745,0.235,R
Floyd County,TX,0.777,0.215,R
Floyd County,VA,0.664,0.32,R
Floyd County,IA,0.589,0.395,R
Floyd County,IN,0.56,0.419,R
Floyd County,GA,0.703,0.284,R
Fluvanna County,VA,0.516,0.469,R
Foard County,TX,0.808,0.18,R
Fond du Lac County,WI,0.625,0.36,R
Ford County,KS,0.651,0.331,R
Ford County,IL,0.728,0.248,R
Forest County,PA,0.711,0.273,R
Forest County,WI,0.651,0.341,R
Forrest County,MS,0.577,0.4,R
Forsyth County,NC,0.424,0.563,D
Forsyth County,GA,0.658,0.326,R
Fort Bend County,TX,0.44,0.545,D
Fort Fairfield County,ME,0.579,0.396,R
Fort Kent County,ME,0.504,0.472,R
Foster County,RI,0.554,0.428,R
Foster County,ND,0.766,0.21,R
Fountain County,IN,0.771,0.204,R
Foxborough County,MA,0.387,0.595,D
Framingham County,MA,0.241,0.737,D
Francestown County,NH,0.464,0.514,D
Franconia County,NH,0.31,0.677,D
Frankfort County,ME,0.649,0.324,R
Franklin County,ID,0.877,0.099,R
Franklin County,IL,0.731,0.254,R
Franklin County,VA,0.705,0.283,R
Franklin County,KS,0.68,0.296,R
Franklin County,IN,0.806,0.178,R
Franklin County,IA,0.668,0.318,R
Franklin County,CT,0.534,0.439,R
Franklin County,AL,0.825,0.166,R
Franklin County,WA,0.561,0.413,R
Franklin County,KY,0.495,0.485,R
Franklin County,LA,0.717,0.273,R
Franklin County,NH,0.546,0.432,R
Franklin County,AR,0.796,0.182,R
Franklin County,FL,0.682,0.309,R
Franklin County,VT,0.54,0.422,R
Franklin County,GA,0.841,0.148,R
Franklin County,TX,0.831,0.161,R
Franklin County,NE,0.833,0.16,R
Franklin County,TN,0.73,0.254,R
Franklin County,ME,0.533,0.443,R
Franklin County,MO,0.708,0.271,R
Franklin County,MS,0.653,0.333,R
Franklin County,NC,0.56,0.425,R
Franklin County,MA,0.36,0.613,D
Franklin County,NY,0.554,0.428,R
Franklin County,OH,0.336,0.648,D
Franklin County,PA,0.708,0.278,R
Franklin city County,VA,0.367,0.624,D
Frederick County,MD,0.444,0.534,D
Frederick County,VA,0.631,0.353,R
Fredericksburg city County,VA,0.316,0.666,D
Freeborn County,MN,0.57,0.41,R
Freedom County,NH,0.494,0.494,R
Freedom County,ME,0.503,0.429,R
Freeport County,ME,0.271,0.7,D
Freestone County,TX,0.803,0.188,R
Freetown County,MA,0.529,0.452,R
Fremont County,NH,0.576,0.405,R
Fremont County,CO,0.688,0.286,R
Fremont County,IA,0.703,0.28,R
Fremont County,ID,0.826,0.149,R
Fremont County,WY,0.663,0.305,R
Frenchboro County,ME,0.613,0.387,R
Frenchville County,ME,0.599,0.39,R
Fresno County,CA,0.451,0.529,D
Friendship County,ME,0.597,0.387,R
Frio County,TX,0.534,0.46,R
Frontier County,NE,0.853,0.131,R
Frye Island County,ME,0.333,0.667,D
Fryeburg County,ME,0.42,0.547,D
Fulton County,AR,0.774,0.202,R
Fulton County,GA,0.262,0.726,D
Fulton County,IL,0.593,0.386,R
Fulton County,IN,0.732,0.25,R
Fulton County,KY,0.663,0.327,R
Fulton County,NY,0.693,0.288,R
Fulton County,OH,0.69,0.294,R
Fulton County,PA,0.855,0.136,R
Furnas County,NE,0.832,0.153,R
Gadsden County,FL,0.314,0.679,D
Gage County,NE,0.673,0.306,R
Gaines County,TX,0.893,0.096,R
