Date,County,State,Series_Complete_Pop_Pct,Fully_Vaccinated,Fully_Vaccinated_12+,Fully_Vaccinated_18+,Fully_Vaccinated_65+,Completeness_pct,Administered_Dose1_Recip,Partially_Vaccinated,Partially_Vaccinated_12+,Partially_Vaccinated_18+,Partially_Vaccinated_65+
2021-10-28,Limestone County,AL,32.8,32464,38.3,40.5,66.3,92.6,37313.0,37.7,44.0,46.5,71.8
2021-10-28,Dooly County,GA,18.1,2425,20.1,19.6,19.8,57.9,2842.0,21.2,23.6,22.9,22.0
2021-10-28,Guadalupe County,NM,63.2,2717,72.4,72.8,83.4,97.2,2956.0,68.7,78.8,79.1,88.7
2021-10-28,Sheridan County,NE,28.6,1499,33.4,35.3,44.3,89.7,0.0,0.0,0.0,0.0,0.0
2021-10-28,Tazewell County,VA,38.3,15545,43.6,45.3,59.5,82.7,18250.0,45.0,51.2,53.0,67.8
2021-10-28,Towner County,ND,42.8,937,50.1,51.8,64.9,95.4,997.0,45.5,53.3,55.3,70.3
2021-10-28,Rutherford County,NC,36.5,24455,41.9,43.9,61.3,97.3,29630.0,44.2,50.7,53.2,72.9
2021-10-28,Calhoun County,AL,41.2,46850,47.9,50.3,75.4,92.6,57215.0,50.4,58.5,61.2,87.0
2021-10-28,Webster County,KY,42.4,5487,50.3,53.1,78.1,94.4,6139.0,47.4,56.2,59.2,83.3
2021-10-28,Middlesex County,MA,70.3,1133503,80.4,80.5,87.2,89.6,1264862.0,78.5,89.7,89.6,99.1
2021-10-28,Citrus County,FL,52.0,77843,57.4,59.5,79.2,98.7,87126.0,58.2,64.2,66.5,86.9
2021-10-28,Westmoreland County,VA,43.4,7823,49.7,51.9,68.8,82.7,8640.0,48.0,54.9,56.9,72.4
2021-10-28,Caldwell County,KY,46.7,5955,54.9,58.2,78.6,94.4,6617.0,51.9,61.0,64.6,83.8
2021-10-28,Hancock County,MS,35.9,17118,41.0,43.1,62.4,98.3,20022.0,42.0,48.0,50.1,69.4
2021-10-28,Pitkin County,CO,72.7,12912,79.7,80.2,71.7,97.4,16005.0,90.1,98.8,99.4,90.4
2021-10-28,Thomas County,GA,24.3,10804,28.8,29.1,32.6,57.9,12139.0,27.3,32.4,32.2,34.8
2021-10-28,Stanley County,SD,52.6,1628,62.7,66.8,88.0,96.4,1879.0,60.7,72.4,76.6,99.2
2021-10-28,Livingston County,MO,40.0,6086,46.3,48.8,74.3,91.2,6746.0,44.3,51.4,54.0,80.5
2021-10-28,Cass County,ND,51.2,93193,60.7,61.9,81.9,95.4,104231.0,57.3,67.8,69.0,92.4
2021-10-28,Juneau City and Borough,AK,66.3,21192,76.8,77.4,94.6,96.7,23019.0,72.0,83.3,84.0,99.9
2021-10-28,Onondaga County,NY,66.3,305431,77.0,78.4,90.1,97.6,323251.0,70.2,81.5,82.9,95.1
2021-10-28,Hamlin County,SD,39.5,2436,50.4,55.9,83.1,96.4,2898.0,47.0,60.0,65.9,93.8
2021-10-28,Camden County,NC,50.0,5436,58.1,61.8,73.3,97.3,6409.0,59.0,68.4,72.6,92.0
2021-10-28,Sanpete County,UT,33.9,10491,40.0,41.4,68.7,97.5,12443.0,40.2,47.5,48.6,78.0
2021-10-28,Franklin County,TN,36.1,15236,41.3,43.7,70.6,97.9,17649.0,41.8,47.8,50.5,76.9
2021-10-28,Randall County,TX,41.2,56676,48.8,51.5,75.5,99.1,65367.0,47.5,56.3,59.3,82.9
2021-10-28,Essex County,VA,44.5,4875,50.3,52.3,70.1,82.7,5353.0,48.9,55.3,57.4,74.4
2021-10-28,Washington Parish,LA,37.3,17246,44.2,46.9,70.3,96.7,19563.0,42.3,50.1,53.0,76.0
2021-10-28,Ottawa County,OH,56.1,22732,63.1,65.4,84.5,98.7,23973.0,59.2,66.6,68.8,88.3
2021-10-28,Falls County,TX,39.5,6833,46.0,48.2,61.5,99.1,8069.0,46.6,54.3,56.5,69.1
2021-10-28,Hertford County,NC,41.6,9860,47.2,48.6,69.1,97.3,12040.0,50.9,57.6,59.3,81.1
2021-10-28,Warren County,IA,53.4,27497,63.6,65.8,91.2,97.5,29540.0,57.4,68.3,70.4,96.0
2021-10-28,Covington city,VA,33.7,1864,38.9,40.9,58.8,82.7,2243.0,40.5,46.8,49.3,71.2
2021-10-28,Washington County,ID,35.2,3589,0.0,45.5,67.7,97.6,4018.0,39.4,0.0,50.9,72.8
2021-10-28,Barnstable County,MA,5.3,11217,5.8,6.1,6.3,89.6,14583.0,6.8,7.5,8.0,8.4
2021-10-28,Baca County,CO,36.6,1309,43.0,45.7,63.4,97.4,1354.0,37.8,0.0,0.0,0.0
2021-10-28,Lycoming County,PA,48.8,55285,56.3,59.0,89.1,94.5,63462.0,56.0,64.6,67.5,99.9
2021-10-28,Henderson County,TX,35.2,29086,40.8,43.2,63.8,99.1,33394.0,40.4,46.8,49.4,70.0
2021-10-28,Polk County,NC,40.1,8301,44.2,45.6,57.3,97.3,9812.0,47.3,52.2,53.9,68.7
2021-10-28,Inyo County,CA,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-28,Upson County,GA,36.7,9668,43.2,45.5,67.7,57.9,10652.0,40.5,47.6,49.8,70.9
2021-10-28,Delaware County,OH,66.0,138024,78.8,80.6,94.7,98.7,142702.0,68.2,81.4,82.9,97.4
2021-10-28,Jefferson County,ID,33.1,9875,0.0,49.8,79.7,97.6,11164.0,37.4,0.0,56.3,85.0
2021-10-28,Prince Edward County,VA,30.4,6936,34.0,35.0,64.6,82.7,7978.0,35.0,39.1,39.9,72.1
2021-10-28,Salem city,VA,46.6,11798,53.1,54.7,72.2,82.7,12799.0,50.6,57.6,58.7,75.7
2021-10-28,Butler County,NE,46.2,3700,54.2,57.2,79.2,89.7,0.0,0.0,0.0,0.0,0.0
2021-10-28,Gilmer County,WV,40.6,3177,44.9,46.2,54.1,60.0,3647.0,46.6,51.5,52.8,61.0
2021-10-28,Hood County,TX,43.8,27020,50.7,53.8,77.9,99.1,30087.0,48.8,56.5,59.7,83.7
2021-10-28,Coshocton County,OH,35.0,12795,41.5,44.3,70.1,98.7,13590.0,37.1,44.0,46.9,73.1
2021-10-28,Sioux County,IA,38.2,13321,46.4,50.5,79.2,97.5,14099.0,40.5,49.2,53.3,81.4
2021-10-28,Scotts Bluff County,NE,36.1,12871,43.2,45.0,58.2,89.7,0.0,0.0,0.0,0.0,0.0
2021-10-28,Adams County,CO,59.2,306229,71.3,73.0,86.1,97.4,329388.0,63.7,76.6,78.5,90.7
2021-10-28,Tolland County,CT,60.9,91805,68.1,68.7,93.5,98.3,98908.0,65.6,73.3,73.9,99.9
2021-10-28,Madison County,IN,47.7,61839,55.4,57.9,83.7,98.7,66235.0,51.1,59.3,61.7,86.0
2021-10-28,Boundary County,ID,29.7,3634,0.0,38.5,60.8,97.6,3955.0,32.3,0.0,41.9,63.8
2021-10-28,Lincoln County,MO,35.2,20796,42.4,44.8,73.1,91.2,23126.0,39.2,47.1,49.8,80.1
2021-10-28,Wichita County,KS,45.6,967,55.9,59.2,69.2,93.6,1028.0,48.5,59.4,62.5,71.8
2021-10-28,Paulding County,OH,38.6,7211,45.3,48.5,77.4,98.7,7616.0,40.8,47.8,51.1,79.8
2021-10-28,Osage County,KS,45.7,7284,53.3,56.3,79.8,93.6,8021.0,50.3,58.7,61.9,84.7
2021-10-28,Sandusky County,OH,47.8,27988,55.7,58.5,86.9,98.7,29252.0,50.0,58.2,61.0,88.6
2021-10-28,Lewis County,NY,46.8,12315,55.2,57.5,79.8,97.6,12860.0,48.9,57.6,60.0,82.0
2021-10-28,Winkler County,TX,34.4,2757,42.6,46.2,65.8,99.1,3180.0,39.7,49.1,52.6,71.1
2021-10-28,Sharp County,AR,34.7,6060,39.9,41.3,55.5,90.3,7217.0,41.4,47.6,49.1,63.6
2021-10-28,Essex County,MA,65.0,513182,75.2,75.8,85.8,89.6,577684.0,73.2,84.5,85.1,99.9
2021-10-28,DeKalb County,IN,39.2,17030,46.4,49.3,80.0,98.7,18201.0,41.9,49.6,52.5,82.5
2021-10-28,Grant County,WA,49.9,48733,62.0,65.6,80.4,96.1,53139.0,54.4,67.6,71.2,83.5
2021-10-28,Claiborne Parish,LA,37.4,5854,42.4,43.7,66.1,96.7,6318.0,40.3,45.7,46.9,68.7
2021-10-28,Greene County,NY,56.5,26645,63.0,63.9,77.8,97.6,28991.0,61.4,68.6,69.4,85.7
2021-10-28,Brevard County,FL,57.6,346776,65.2,67.0,83.6,98.7,396615.0,65.9,74.5,76.7,94.2
2021-10-28,Harney County,OR,41.6,3075,48.0,50.2,64.5,97.8,3436.0,46.5,53.6,55.9,68.3
2021-10-28,Haskell County,KS,34.6,1372,42.1,45.6,66.9,93.6,1523.0,38.4,46.7,50.0,70.5
2021-10-28,Yukon-Koyukuk Census Area,AK,61.8,3230,76.9,77.0,85.2,96.7,3569.0,68.2,84.7,84.9,91.5
2021-10-28,Eastland County,TX,32.4,5952,37.5,40.2,63.3,99.1,7002.0,38.1,44.1,46.9,71.1
2021-10-28,Linn County,KS,32.1,3118,37.0,39.8,57.9,93.6,3449.0,35.5,41.0,43.9,62.4
